last_name, first_name,player_id,year,b_k_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,swing_percent,
Harper, Bryce,547180,2016,18.7,67.5,16.3,24.3,35.9,63,79.5,83.5,41.7,
Martin, Leonys,547982,2016,25.9,70.3,21.8,33.2,42.4,52.3,71.8,73.6,51.6,
Abreu, Jose,547989,2016,18.0,68,14.5,37.7,37.1,62.9,72.1,85.5,51.1,
Suarez, Eugenio,553993,2016,24.7,61.4,17.3,26,42.2,57.5,69,82.6,43.5,
Polanco, Gregory,570256,2016,20.3,68.9,12.8,29.9,35.7,64,75.4,86.3,46.1,
Schoop, Jonathan,570731,2016,21.2,79.3,18.8,41.9,47.1,52.9,87.6,81.2,60.2,
Arenado, Nolan,571448,2016,14.8,67,12.7,32,29.9,70.1,70.9,87.3,48.1,
Gennett, Scooter,571697,2016,21.0,73.4,15.4,33.2,34.8,62.5,84.1,83.3,51.4,
Lamb, Jake,571875,2016,25.9,64.2,18.6,25.2,52.6,47.4,79.4,81.3,43.6,
Myers, Wil,571976,2016,23.7,57.7,17.6,24.9,30.8,69.2,70,82.4,40.7,
Piscotty, Stephen,572039,2016,20.5,72.5,18.8,33.1,40.3,59.7,80.7,81,52.4,
Seager, Kyle,572122,2016,16.0,61.1,13.2,24.5,31,68.4,68.7,86.3,42.2,
Carpenter, Matt,572761,2016,19.1,57.2,10.3,22.5,38.4,60.6,65.3,89.1,38.5,
Dickerson, Corey,572816,2016,24.5,74.8,26.8,41,32.5,67.3,82.8,73.2,55.9,
Dozier, Brian,572821,2016,20.0,61.3,18,28.2,33.3,65.6,69.3,81.8,43.7,
Iglesias, Jose,578428,2016,9.7,54.3,4.7,35.4,18.9,79.9,55.6,93.1,44.8,
Hechavarria, Adeiny,588751,2016,13.3,66.9,11,33.3,26.1,71.1,73.4,88.6,50.2,
Bryant, Kris,592178,2016,22.0,72.1,21.3,28.6,42.6,57.4,89.2,78.7,48.5,
Machado, Manny,592518,2016,17.2,70,14.7,30.7,38,62,80.7,85.1,49.3,
Realmuto, J.T.,592663,2016,18.3,66,13.1,30.4,33.3,66.7,73,86.5,48.1,
Yelich, Christian,592885,2016,20.9,63.2,13.9,21.2,50.5,49.5,76.3,85.9,40.3,
Bogaerts, Xander,593428,2016,17.1,58.5,11.6,32.5,34.8,65.2,64.7,88.3,45.4,
Calhoun, Kole,594777,2016,17.6,73,15.5,29.4,46.2,53.8,81.9,84.4,49.5,
Duvall, Adam,594807,2016,27.0,68.3,18.3,32.8,45.7,54.3,79,81.7,49.7,
Eaton, Adam,594809,2016,16.3,66.7,12.1,29.5,27.6,70.1,70.8,85.5,47.7,
Lindor, Francisco,596019,2016,12.9,69,12.4,28.4,27.2,71.5,78.1,86.7,47.6,
Odor, Rougned,596059,2016,21.4,69.1,13.5,41.8,38.6,60.3,75,86,54.7,
Cuthbert, Cheslor,596144,2016,18.8,67.7,15.3,30.1,41.6,58.1,79.8,84.7,49.3,
Franco, Maikel,596748,2016,16.8,72.3,16.6,32.3,39.8,60.2,88.1,83.4,51.4,
Bradley Jr., Jackie,598265,2016,22.5,63.9,19.7,27.4,41.8,58.2,69.8,80,45,
Betts, Mookie,605141,2016,11.0,57.5,6.9,23.1,34.6,64.7,70.8,93,41.3,
Panik, Joe,605412,2016,8.9,63.6,6.7,21.7,23.1,75.1,77.3,93.1,41.6,
Pillar, Kevin,607680,2016,15.4,61.1,9.5,37.6,33.4,64.8,66.3,89.4,49.6,
Ramirez, Jose,608070,2016,10.0,62,10.3,26.3,18,82,73.3,89.2,44,
Russell, Addison,608365,2016,22.6,72,23,28.7,44.2,55.6,81.8,76.7,49.9,
Seager, Corey,608369,2016,19.4,78.5,14.7,28.9,44.7,55.3,93.8,85.3,52.5,
Mazara, Nomar,608577,2016,19.7,61.2,12.4,31.6,32.5,67.5,66.9,87.6,44.6,
Garcia, Adonis,611177,2016,16.5,69.5,14.7,36.6,32.6,67.4,72.2,85.3,52.5,
Correa, Carlos,621043,2016,21.1,63.5,17.2,28,38.3,61.7,69.1,82.5,44.5,
Tomas, Yasmany,630111,2016,24.2,79.8,20.5,40,46.6,53.4,86.6,79.5,57.6,
Hunter, Torii,116338,2015,18.5,72.6,17,34.2,36.1,63.9,80.5,82.6,53.4,
Ortiz, David,120074,2015,15.5,70.8,17.1,26.4,34.8,65.2,76.9,82.6,44.7,
Rodriguez, Alex,121347,2015,23.4,67.5,26.2,24,45.8,54.2,75.3,73.8,43.9,
Ramirez, Aramis,133380,2015,13.2,73.5,12.2,34.4,28.8,71.2,78,87.8,52.9,
Beltre, Adrian,134181,2015,10.5,62.2,11.2,35.5,25.5,74.5,64.7,88.8,48.1,
Beltran, Carlos,136860,2015,16.0,65.5,11.1,28.8,31.3,68.7,80.7,88.9,45.4,
Rollins, Jimmy,276519,2015,15.3,66.2,11.4,24.8,35.1,64.6,79.8,87.8,45,
Pujols, Albert,405395,2015,10.9,62.8,9.5,29.5,29.5,70.5,67.9,90.5,45.4,
Byrd, Marlon,407781,2015,26.7,81.6,20.8,41.8,48.5,51.5,84.4,79.2,60.2,
Mauer, Joe,408045,2015,16.8,57.3,10.4,25.6,29.5,69.7,66.7,89,40.7,
Cabrera, Miguel,408234,2015,16.0,68.3,16.6,27.3,35.4,64.6,78.1,83.4,44.9,
Gonzalez, Adrian,408236,2015,16.6,73.7,14.6,32.2,33.3,66.7,83,85.1,49.7,
Phillips, Brandon,408252,2015,10.9,73.9,10.6,35.4,35.4,64.1,74.3,89.1,54.2,
Reyes, Jose,408314,2015,11.9,67.2,10.4,35.6,25.4,74,71,88.2,50.3,
Peralta, Jhonny,425509,2015,17.3,74.2,15.5,29,40,60,82.3,84.5,49.9,
Choo, Shin-Soo,425783,2015,22.5,62.9,21.6,22.9,39.6,59.4,73.9,77.6,41.9,
Molina, Yadier,425877,2015,11.1,74.1,14.4,34.2,22.4,77.2,82.4,85.2,54.1,
Fielder, Prince,425902,2015,12.7,70.6,10.5,32.3,36.2,63.6,77.6,89.5,47.9,
Cano, Robinson,429664,2015,15.9,71.5,11.1,31.8,34.2,65.6,78.9,88.9,49.8,
Encarnacion, Edwin,429665,2015,15.7,64.4,17.9,23.2,36.8,63.2,82,82.1,43.1,
Howard, Ryan,429667,2015,27.4,76.4,20.2,37.1,51.2,48.8,86.2,79.8,54.6,
Bautista, Jose,430832,2015,15.9,61.4,15.7,19.9,33.2,66.8,65.5,84.3,39.3,
Jones, Adam,430945,2015,17.6,81.3,15.5,44,36.6,63,85.6,83.2,60.4,
Aybar, Erick,430947,2015,11.4,68.8,7,38.7,22,75.5,71.2,89.6,52.6,
Martin, Russell,431145,2015,20.9,59.2,16.5,21,45,54.5,76.1,83.3,41,
Granderson, Curtis,434158,2015,22.1,58.3,14.3,19.4,37.7,62,62.4,85.7,37.5,
Pagan, Angel,434636,2015,16.9,60.5,8.1,23.8,22.5,77.1,65.2,91.9,41.5,
Morales, Kendrys,434778,2015,16.1,71.1,13.4,30.2,39.8,60.2,77.3,86.6,47.9,
Kinsler, Ian,435079,2015,11.9,67.1,6.8,26.1,27.1,72.9,79,93.1,47.1,
McCann, Brian,435263,2015,18.1,56.6,9.4,30.4,29,69.9,67.7,89.8,42.1,
Walker, Neil,435522,2015,18.2,72,12.9,30.7,32.6,66.7,79.6,86.9,49.7,
Desmond, Ian,435622,2015,29.2,67.8,18.8,33.1,48.1,51.1,77.7,80.5,49.9,
Cruz Jr., Nelson,443558,2015,25.0,69.6,23.9,30.9,42.9,57.1,73.3,76.1,48.1,
Trumbo, Mark,444432,2015,24.2,69.8,21.5,35.8,46.5,53.5,79.4,78.5,51.5,
Peralta, David,444482,2015,20.7,67.2,13.8,31.3,43.3,55.8,78.4,85.7,47.6,
Escobar, Alcides,444876,2015,11.3,68.3,11.4,35.3,31,67,73.3,87.4,52,
Prado, Martin,445988,2015,12.3,52,5.9,25.4,24.5,75.1,56.9,93.6,39.5,
Duda, Lucas,446263,2015,24.9,62.8,15,27.4,40.6,59.4,76.4,85,41.8,
Longoria, Evan,446334,2015,19.7,65.1,17.9,29.4,35.8,64.2,74,82.3,46.8,
Davis, Chris,448801,2015,31.0,70,27.7,28.8,51.1,48.4,81.7,72,47.3,
Zobrist, Ben,450314,2015,10.5,55.3,8.3,21.5,21.3,78,65,91.1,36.8,
Fowler, Dexter,451594,2015,22.3,66.8,16.1,19.4,38.6,59.7,79.9,83,41.6,
Headley, Chase,452104,2015,21.0,64.8,13,22.8,42.6,57.4,79.6,86.8,42.9,
Lind, Adam,452252,2015,17.5,60.9,12.6,32.1,33.3,66.7,64.7,87.4,44.4,
Cabrera, Asdrubal,452678,2015,19.4,73.7,17.1,37.6,32.4,66.2,81.1,80.9,54,
Tulowitzki, Troy,453064,2015,21.3,63,17.5,28.5,34,65.7,74.2,82.5,44.9,
Blackmon, Charlie,453568,2015,16.4,59.8,8.7,27.5,29.4,69.8,64.8,89.8,42.8,
Frazier, Todd,453943,2015,20.2,73.5,17.5,35,37.8,61.5,81.4,82.2,52.9,
Markakis, Nick,455976,2015,12.1,60.4,8.9,25.6,17.1,82.9,69.4,91.1,41.6,
Butler, Billy,456714,2015,16.8,60.6,10.3,28.7,37,63,73.2,89.7,44.7,
Cain, Lorenzo,456715,2015,16.2,67.7,10.8,32.7,34.5,65.5,74.3,88.7,49.4,
McCutchen, Andrew,457705,2015,19.4,68.1,20.5,21.5,42.1,57.9,84.1,79.5,43.3,
Jackson, Austin,457706,2015,23.9,62.3,15.4,24.6,40.5,58.7,68.8,83.9,44.3,
Upton, Justin,457708,2015,25.6,67,25.6,22.7,49.5,50.5,77.2,74.3,44.4,
Maybin, Cameron,457727,2015,18.4,61.2,12.4,25.7,39.9,59.8,74.1,86.9,43.6,
Posey III, Buster,457763,2015,8.3,69.8,8.4,27,24.6,75.4,81.8,91.4,47.2,
Bruce, Jay,457803,2015,22.3,73.8,15.4,30.7,41.1,58.2,82.5,84,48.2,
Votto, Joey,458015,2015,19.4,61.4,20.6,16.7,33.9,65.3,71.7,79.1,36.7,
Coghlan, Chris,458085,2015,18.7,66.9,12.8,21.4,40.5,58.6,77.9,87.2,43.8,
Gardner, Brett,458731,2015,20.6,54.5,13.3,22.1,38.8,59.6,59.9,86.1,37.4,
Braun, Ryan,460075,2015,20.2,68.7,14.2,35.8,35.8,64,76,85.8,50.3,
Moss, Brandon,461235,2015,28.1,71,19,30.9,50.3,49.7,87,80.8,49.3,
Kemp, Matt,461314,2015,22.7,69.7,18.9,34.7,39.4,60.6,82.1,81.1,50.9,
Plouffe, Trevor,461858,2015,19.6,64.6,14.7,24.6,37.9,61,72,84.9,44.9,
Andrus, Elvis,462101,2015,11.8,59.1,8.9,25.3,30,68.9,67.5,89.3,43.1,
Cervelli, Francisco,465041,2015,18.4,62.1,14.1,19.2,35.8,63.6,70.4,85.9,41.3,
Cabrera, Melky,466320,2015,12.9,62.8,8.5,32.8,21.6,77.5,67.2,90.7,47,
Sandoval, Pablo,467055,2015,14.5,74.5,15.5,47.2,23.4,76.2,76.4,84.5,58.8,
Ramos, Wilson,467092,2015,20.0,72.7,16.1,33.8,42.6,57.4,86.8,83.9,53.6,
Santana, Carlos,467793,2015,18.3,57.4,14.4,19.1,31.6,66.7,69,85.4,36.6,
Parra, Gerardo,467827,2015,15.6,73.9,11.4,38.1,30,69.5,85.4,86.6,54.8,
Gonzalez, Carlos,471865,2015,21.9,77.8,21,36.7,45.1,53.8,87.6,78.3,53.7,
Belt, Brandon,474832,2015,26.4,81.4,22.1,25.4,43.4,56.6,93,77.5,49.8,
Brantley Jr., Michael,488726,2015,8.6,64,4.5,22.1,19.9,79.7,75.2,95.3,42.3,
Escobar, Yunel,488862,2015,11.8,73.3,10.2,26.6,38.6,60.6,82.9,89,49.9,
Morrison, Logan,489149,2015,15.9,69.4,12.5,28.9,31.5,68.5,81.6,87.2,47.9,
Cespedes, Yoenis,493316,2015,20.9,62.7,17.2,36.3,33.9,66,75.8,82.8,48.9,
Ramirez, Alexei,493351,2015,10.9,66.4,11.2,31.3,24.9,74.9,79.9,88.3,48.6,
Solarte, Yangervis,500208,2015,9.8,67.8,6.5,30.7,27,72.7,74.5,92.9,48.4,
Martinez, J.D.,502110,2015,27.1,74.3,22.3,33.3,47.9,52.1,83.7,77.7,52.7,
Reddick, Josh,502210,2015,11.2,64.8,8.6,26.7,30.2,69.5,69.6,91.3,43.4,
Murphy, Daniel,502517,2015,7.1,70.2,4.1,31.5,17.3,82.7,71.8,95.9,48.4,
Goldschmidt, Paul,502671,2015,21.7,59.3,20.8,20.2,36.1,63.9,71.8,79.2,38.1,
Altuve, Jose,514888,2015,9.7,70.9,6.6,34.5,20,79.2,80.6,92.9,51.7,
Segura, Jean,516416,2015,15.9,70.2,11.6,36.7,28.6,70.1,77.3,87.2,53.7,
Castro, Starlin,516770,2015,15.7,64.6,12.3,33,34,65.4,72.7,87.7,48.7,
Marte, Starling,516782,2015,19.4,75.9,17,38.7,43.5,55.2,84.7,82,57.1,
Donaldson, Josh,518626,2015,18.7,68.6,19.1,23.3,43.3,56.7,82,80.8,45.8,
Heyward, Jason,518792,2015,14.8,61.3,7.7,24,34.4,65.6,61.1,92,41.1,
LeMahieu, DJ,518934,2015,17.3,62.6,11.1,23.7,31,68.3,71.6,87.8,43.5,
Moreland, Mitch,519048,2015,21.7,66.9,16.7,29.8,43.1,56.9,72,83.2,47,
Moustakas, Mike,519058,2015,12.4,64.7,10.3,31.5,28.7,71.3,70.6,89.2,47.3,
Norris, Derek,519083,2015,23.5,62.4,14.1,24.6,43.7,56.3,70.4,85.9,44.9,
Revere, Ben,519184,2015,10.1,57.5,3.6,28.8,23.2,75.1,57.4,95.1,42.5,
Rizzo, Anthony,519203,2015,15.0,67.4,11.1,31.1,31.3,68.5,78.8,88.3,45.9,
Vogt, Stephen,519390,2015,19.0,56.9,10.9,29.1,29.9,70.1,64.3,88.9,41.2,
Galvis, Freddy,520471,2015,17.1,64,11.5,39.7,29.6,68.8,71.3,86.9,51.2,
Perez, Salvador,521692,2015,14.8,67.7,9.8,41.7,29.7,70.3,67.9,90.1,53.9,
Forsythe, Logan,523253,2015,18.0,57.1,13.6,22.4,32,68,67.4,86.4,40.3,
Flores, Wilmer,527038,2015,12.4,66.3,11.3,29.1,21.8,77.9,73.4,88.4,48.8,
Garcia, Avisail,541645,2015,23.5,78.9,20.6,42.7,46.5,53.5,82.6,79.4,58.8,
Inciarte, Ender,542255,2015,10.3,62.2,6.6,34.8,19.7,76.7,66,88.9,48.7,
Burns, Billy,542993,2015,14.6,79.5,13.4,36.8,22.4,76.4,89.6,85.4,58.5,
Crawford, Brandon,543063,2015,21.2,75.3,19.1,32.3,45,54.5,84.8,80.3,51.8,
Giavotella, Johnny,543213,2015,11.8,62.8,9,26.6,29.7,69.4,74.5,90,45.6,
Gose, Anthony,543238,2015,27.1,70.8,17.6,30.5,44.9,50.6,73.8,79.3,50,
Hosmer, Eric,543333,2015,16.2,64.2,12.7,31.4,32.5,66.6,68,86.9,45.5,
Kipnis, Jason,543401,2015,16.7,61.4,9.4,25.8,34,64.8,67.9,89.6,43.3,
Lawrie, Brett,543434,2015,23.9,62.9,18.6,34.8,40,59.8,70.3,81.3,48.7,
Semien, Marcus,543760,2015,22.0,61.8,15.5,24,41.9,58.1,75.6,84.1,43.8,
Strange-Gordon, Dee,543829,2015,13.9,65.6,8.8,37,23.6,74.4,71.3,87.4,51.9,
Wong, Kolten,543939,2015,15.5,72.8,11.9,32.9,32.5,66.4,79.7,87.6,50.4,
Gregorius, Didi,544369,2015,14.7,71.4,15.1,34.7,35.7,63.8,77.2,84.2,51.8,
Trout, Mike,545361,2015,23.2,53.7,15.4,22.5,36.5,63.5,58.4,84.6,37.4,
Herrera, Odubel,546318,2015,24.0,67.3,14.6,35.2,41.5,56.5,77,82.7,50,
Harper, Bryce,547180,2015,20.0,71.4,17.9,25.6,43.5,55.8,71.9,80.8,44.2,
Abreu, Jose,547989,2015,21.0,66,15.6,34.6,39.3,60.7,70.6,84.4,48.7,
Polanco, Gregory,570256,2015,18.6,65.9,11.8,29.3,32.3,66.3,70.6,84.8,44.8,
Arenado, Nolan,571448,2015,16.5,73.3,11.3,35.7,38.6,60.9,75.6,88.7,53.1,
Holt, Brock,571788,2015,19.1,56.8,9.5,24.7,27.8,71.8,64.7,89.9,40.6,
Owings, Chris,572008,2015,26.1,70.3,15.6,36,46.8,51.4,78.9,83.3,53.6,
Pollock, AJ,572041,2015,13.2,63.7,7.2,28.7,38.2,61.2,70.7,91.8,46.3,
Seager, Kyle,572122,2015,14.3,62.9,10.2,28.3,33.8,66.2,69.7,89.1,45.4,
Taylor, Michael A.,572191,2015,30.9,72,24.4,32,53.7,44.6,87,74.3,52.2,
Carpenter, Matt,572761,2015,22.7,59.4,15.5,20.7,36.8,62.2,71.8,83.6,38.9,
Dozier, Brian,572821,2015,21.0,62.7,16.1,29,33.7,64.4,76.9,82.5,45.2,
Bryant, Kris,592178,2015,30.6,73.6,27.9,28.8,51.8,48.2,89.3,72.1,48.9,
Castellanos, Nick,592206,2015,25.5,69.5,18.8,32.5,49.9,50.1,79.5,81.2,49.7,
Machado, Manny,592518,2015,15.6,63.5,10.8,24.7,33.4,66,74.4,88.7,43.2,
Pederson, Joc,592626,2015,29.1,64.9,26.9,24.9,54.2,44.9,67.5,72.4,42.5,
Simmons, Andrelton,592743,2015,8.2,65.3,7.6,25.3,23.2,76.4,79.8,91.4,45.9,
Yelich, Christian,592885,2015,19.2,64.8,13.7,24.4,41.7,57.9,74.2,84.6,43.2,
Bogaerts, Xander,593428,2015,15.4,63.4,13.3,34.1,34,65.7,70.4,86.5,49.1,
Calhoun, Kole,594777,2015,23.9,71.6,17.5,29.4,50.4,49.6,78.6,82.4,49,
Eaton, Adam,594809,2015,19.0,60.6,12.6,27.8,30.2,67.8,67,85,44.1,
Gattis, Evan,594828,2015,19.7,68.7,18.6,36.4,34.3,65.7,77.1,81.4,50.5,
Kiermaier, Kevin,595281,2015,17.8,71.8,15.9,31.6,32.1,66.7,79.5,82.8,51.4,
Betts, Mookie,605141,2015,12.5,54.3,9.3,23.5,29.8,70.2,59.3,90.5,40.2,
Peterson, Jace,607054,2015,20.1,62.4,16.7,26.4,35.2,62.4,71.6,81.9,43.5,
Pillar, Kevin,607680,2015,13.5,63.2,11.6,38.7,29.4,69.6,63.2,87.3,51.2,
Russell, Addison,608365,2015,28.5,68.4,21.7,28,53.3,46.7,78.2,77.7,48,
Duffy, Matt,622110,2015,15.7,62.6,9.8,29.8,35,65,65.5,90,46,
